feature,ks_stat,ks_p,src_median,tgt_median
t_rms_rel,0.06511290322580646,0.06532673185464996,0.9999999999999988,0.9999999999999998
t_std_rel,0.06511290322580646,0.06532673185464996,0.9999999999999988,0.9999999999999998
t_var_rel,0.06511290322580646,0.06532673185464996,0.9999999999999986,1.0
t_mean_abs_rel,0.07837096774193548,0.014224383362732625,0.9999999999999984,0.9999999999999999
o_pk1_amp,0.10879032258064517,0.0001485448883891974,0.0512816123706787,0.0440282019666509
o_shaft1,0.1095483870967742,0.00013008898028528623,0.02424894339943965,0.02124271623759145
t_p2p_rel,0.11854838709677419,2.5087289479788636e-05,0.9999999999999998,1.0
t_peak_rel,0.13532258064516128,8.233128688029734e-07,0.9999999999999992,1.0
o_pk0_amp,0.14943548387096775,3.262740150391735e-08,0.08938743996229834,0.08423091291524534
o_shaft3,0.15756451612903224,4.386288359985567e-09,0.01046472307877315,0.0116110172093538
t_skewness,0.1595,2.6772704543967825e-09,0.0166226791363025,0.0023393457877566998
t_clearance,0.185,2.2577859288178904e-12,8.42609653900054,8.639037904561048
t_impulse,0.1929516129032258,1.994856219754125e-13,6.831092140422748,7.252419011831618
o_pk2_amp,0.19324193548387097,1.822118469677194e-13,0.03656355210808325,0.032017794402053795
t_kurtosis,0.20538709677419356,3.635598565405821e-15,1.5729762895318555,0.9010803485605019
t_crest,0.2134516129032258,2.3592218403924507e-16,4.9642753705914675,5.639989059024725
t_shape,0.21795161290322582,4.89131798737376e-17,1.3348575028096503,1.2895240195673847
o_shaft21,0.21998387096774194,2.3767493059153694e-17,0.6918228325524809,0.38450976459060715
o_pk3_amp,0.2420967741935484,5.887607143457899e-21,0.0270873584788821,0.0249125878216125
o_bandfrac0,0.2515483870967742,1.3143404334522277e-22,0.12698743396326145,0.0707394110254912
o_pk4_amp,0.27680645161290324,2.3952903157453824e-27,0.02150615668454565,0.0222106713670853
o_shaft2,0.2868709677419355,2.2758116186529304e-29,0.0182053717920703,0.0085543362238601
o_pk5_amp,0.3318225806451613,2.3820170783036526e-39,0.017351403189333252,0.020309020895195498
o_pk6_amp,0.3768548387096774,6.06162430107044e-51,0.01471629807094545,0.01836633547187495
o_bandfrac3,0.3882741935483871,3.814478918749474e-54,0.19435139871826967,0.2818774874726455
o_pk6_order,0.3901774193548387,1.0894321182122336e-54,4.60772895712017,10.098302008112892
o_pk7_order,0.3955483870967742,3.05104121078309e-56,5.128316188413644,9.77416734362307
o_pk7_amp,0.4340322580645161,4.488522823603558e-68,0.01287068336014945,0.016828900084647297
o_pk3_order,0.4359516129032258,1.0700741761438183e-68,3.938461538461538,11.121440703893992
o_pk0_order,0.4484193548387097,7.915289522193182e-73,3.5565241078725145,4.679122664500406
o_pk4_order,0.45295161290322583,2.3087882324963078e-74,4.028214867064569,9.878147847278635
o_entropy,0.46993548387096773,2.761042402844552e-80,4.643836760152413,4.340370333098862
o_gini,0.4853064516129032,7.228799901852157e-86,0.7773045585767958,0.5933608904607888
o_pk5_order,0.49382258064516127,4.69464882929712e-89,4.397734855920637,12.299674267100976
o_pk2_order,0.5246612903225807,3.402408813070845e-101,2.976744186046512,10.423452768729645
o_bandfrac1,0.5654193548387096,1.1008710721442555e-118,0.13162367065710834,0.05246641943360095
o_pk2_ratio,0.565741935483871,7.657578720264028e-119,74.506480372099,8.794147313047276
o_pk1_ratio,0.6052580645161291,1.704128034769328e-137,104.12783685469941,12.23060636756598
o_pk0_ratio,0.6146451612903225,3.280540993214743e-142,213.7485519335308,24.183456927574337
o_pk1_order,0.6292096774193549,1.0346927185232268e-149,2.430819316332068,11.021933387489844
o_kurtosis,0.6447096774193548,5.235116807540753e-158,80.19930866603303,24.36664631904312
o_crest,0.6743709677419355,1.0632990542383007e-174,41.23130247941435,13.065540526996218
o_pk3_ratio,0.6943064516129033,1.1879063174692328e-186,54.60108925994501,6.924303998142564
o_pk4_ratio,0.7143387096774193,3.3271647621781873e-199,42.49425957623042,6.230071026900793
o_bandfrac4,0.7281290322580645,3.5300783925631116e-208,0.21260378984738884,0.46697520093429223
o_pk5_ratio,0.7395322580645162,5.866555530879171e-216,33.431548849789806,5.65912366849643
o_pk6_ratio,0.8066290322580645,3.211658332117817e-266,27.616562635380006,5.1149694329946485
o_pk7_ratio,0.8195967741935484,4.980071221571819e-277,23.508498487378397,4.696344837558003
o_bandfrac2,0.8645645161290323,1.251745e-318,0.28592906687421715,0.08371904495668281
