file_id,method,seed,B,IR,OR,N,pred
A,M0,0,5.304925662396817e-07,2.5591503554303347e-06,0.9999965376904595,3.7266661891715984e-07,OR
A,M0,0,7.717891849501994e-08,2.1239398550195566e-07,0.9999996948179398,1.5609156004556185e-08,OR
A,M0,0,9.505479980412123e-07,2.006454581630107e-06,0.9999969955823398,4.741508053084737e-08,OR
A,M0,0,2.6662685297555536e-05,2.7907355403652715e-06,0.9999703024049817,2.4417418045961656e-07,OR
A,M0,0,1.4820106721202457e-07,8.45174151721025e-07,0.9999989650104008,4.161438032046816e-08,OR
A,M0,0,0.0013824018435795954,4.379574368332427e-06,0.9986121222575098,1.0963245423327705e-06,OR
A,M0,0,2.192388190855243e-08,8.841933105494596e-08,0.9999998759084859,1.3748301146977329e-08,OR
A,M0,0,0.04237861792401039,7.012482411648134e-05,0.9575280993790722,2.3157872800855656e-05,OR
A,M0,0,2.9507735064781103e-06,7.13400996560846e-07,0.9999962496242589,8.620123825761433e-08,OR
A,M0,0,5.356023696272164e-05,1.9290977545939408e-06,0.9999438894297723,6.212355104284601e-07,OR
A,M0,0,1.0932594589847235e-06,5.9357828251519346e-08,0.9999987304642998,1.1691841302651476e-07,OR
A,M0,0,1.5611153480363222e-07,3.511528653059335e-08,0.9999997829262177,2.584696094073188e-08,OR
A,M0,0,0.18205361513002244,0.00014486932057610554,0.8177506043154731,5.091123392832759e-05,OR
A,M0,0,3.688461210128496e-05,1.1431546538860857e-06,0.9999618914100951,8.082314977640073e-08,OR
A,M0,0,6.123194759593584e-09,4.4041184818370856e-09,0.9999999861843014,3.2883852242836303e-09,OR
A,M0,0,1.6073301473084615e-05,2.337945035626934e-05,0.9999583120610374,2.235187133259677e-06,OR
A,M0,0,1.354441899479857e-06,7.877078406442065e-07,0.999997828385797,2.9464462822579904e-08,OR
A,M0,0,2.0308090236323604e-06,1.54349257893963e-06,0.9999962002442366,2.2545416092498047e-07,OR
A,M0,0,1.0965069732088374e-05,6.39227243466095e-06,0.9999820587539581,5.839038752251904e-07,OR
A,M0,0,2.868311768937897e-06,2.8004965344384493e-07,0.9999968125048703,3.913370740093407e-08,OR
A,M0,0,5.969583603312875e-07,9.182768307248437e-07,0.9999984118588559,7.290595313930674e-08,OR
A,M0,0,0.002492541006120219,4.5174441996329726e-05,0.9974474449846487,1.4839567234937785e-05,OR
A,M0,0,0.9792611499599788,1.7383357547703924e-05,0.020713932414670903,7.534267802555151e-06,B
A,M0,0,0.00018500202735114796,7.984128043559434e-06,0.999806080549135,9.332954704077716e-07,OR
A,M0,0,3.4523545160691276e-06,3.774250294801169e-05,0.9999583749575297,4.3018500624208615e-07,OR
A,M0,0,1.2897752922738823e-05,2.4107504012516515e-07,0.9999867742153427,8.695669469046308e-08,OR
A,M0,0,1.7884521148943865e-05,1.3479801618985785e-06,0.9999805515368478,2.1596184124521907e-07,OR
A,M0,0,3.926355391706122e-06,0.0007154804096627,0.9992801245425482,4.686923972766322e-07,OR
A,M0,0,0.00010487687435186863,0.00012003071387965414,0.9997749139572442,1.7845452432589316e-07,OR
A,M0,0,1.674795987142499e-06,1.1392869206426295e-06,0.9999971434302345,4.248685776206766e-08,OR
A,M0,0,3.9707921940096414e-05,3.7255943717937554e-06,0.9999557132314615,8.532522265473416e-07,OR
B,M0,0,0.9992390570781791,0.00016263658428019158,0.0005975888044269516,7.175331136723725e-07,B
