protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P1,F2,mlp,0,fold0,128,33,3225,895,49,13.018334865570068,5150.009666741227,0.7374301675977654,0.6047564188338203,0.733848591084063,4,0.7272727272727273,0.5579208567324017,33,0.7119741100323624,0.8870967741935484,0.7899461400359067,0.8343949044585988,0.6064814814814815,0.7024128686327078,0.76,0.76,0.76,0.1724137931034483,0.16129032258064516,0.16666666666666666
P1,F2,mlp,0,fold1,128,33,3269,851,49,8.54069972038269,63.95361258196354,0.7015276145710928,0.5504602276441881,0.7128367183204245,4,0.696969696969697,0.5411998132586368,33,0.497907949790795,0.595,0.5421412300683371,0.7796610169491526,0.8518518518518519,0.8141592920353983,0.8563049853372434,0.7019230769230769,0.7714663143989432,0.05714285714285714,0.10526315789473684,0.07407407407407407
P1,F2,mlp,0,fold2,129,32,3228,892,49,10.005622148513794,25.263548966480478,0.7701793721973094,0.779537142483288,0.7703953808358464,4,0.8125,0.854970760233918,32,0.7293233082706767,0.8362068965517241,0.7791164658634538,0.6715328467153284,0.8518518518518519,0.7510204081632653,0.9055374592833876,0.6731234866828087,0.7722222222222223,0.6888888888888889,1.0,0.8157894736842105
P1,F2,mlp,0,fold3,129,32,3396,724,49,8.288477420806885,34.26213290809926,0.7058011049723757,0.545471060181044,0.6977581372597389,4,0.71875,0.5327205882352941,32,0.5527426160337553,0.7119565217391305,0.6223277909738717,0.7071823204419889,0.6956521739130435,0.7013698630136986,0.8283828382838284,0.7723076923076924,0.7993630573248408,0.3333333333333333,0.03225806451612903,0.058823529411764705
P1,F2,mlp,0,fold4,130,31,3362,758,49,3.931175708770752,29.33051781163681,0.783641160949868,0.7568269823652732,0.7768506701729827,3,0.8064516129032258,0.7777777777777778,31,0.6958333333333333,0.907608695652174,0.7877358490566038,0.7925925925925926,0.5219512195121951,0.6294117647058823,0.8398950131233596,0.8672086720867209,0.8533333333333334,,,
P1,F2,vote,0,fold0,128,33,3225,895,49,10.738996505737305,374.4349133368977,0.8480446927374302,0.882014689077522,0.8488734644683997,4,0.8484848484848485,0.8798611111111111,33,0.7640845070422535,0.875,0.8157894736842105,0.9076923076923077,0.8194444444444444,0.8613138686131386,0.8675324675324675,0.835,0.8509554140127389,1.0,1.0,1.0
P1,F2,vote,0,fold1,128,33,3269,851,49,10.711794376373291,345.4340610885172,0.7955346650998825,0.6034198176660773,0.7942805158050799,4,0.7878787878787878,0.600085406213302,33,0.5567765567765568,0.76,0.642706131078224,0.9102564102564102,0.9861111111111112,0.9466666666666667,0.9149560117302052,0.75,0.8243064729194187,0.0,0.0,0.0
P1,F2,vote,0,fold2,129,32,3228,892,49,10.6718270778656,363.58646213206475,0.8598654708520179,0.8724412599676019,0.8598089904809528,4,0.9375,0.9454234279918865,32,0.7675438596491229,0.7543103448275862,0.7608695652173914,0.9519230769230769,0.9166666666666666,0.9339622641509434,0.8625592417061612,0.8813559322033898,0.8718562874251496,0.8823529411764706,0.967741935483871,0.9230769230769231
P1,F2,vote,0,fold3,129,32,3396,724,49,10.850746154785156,346.3708234755374,0.7803867403314917,0.5793865498816365,0.7630690887651341,4,0.78125,0.5691459276018099,32,0.5833333333333334,0.6467391304347826,0.6134020618556701,0.9921259842519685,0.6847826086956522,0.8102893890675241,0.8184143222506394,0.9846153846153847,0.8938547486033519,0.0,0.0,0.0
P1,F2,vote,0,fold4,130,31,3362,758,49,11.459631204605103,366.93154035583336,0.8865435356200527,0.8843149219177135,0.8860897679488423,3,0.9032258064516129,0.9063180827886711,31,0.8450704225352113,0.9782608695652174,0.906801007556675,0.868020304568528,0.8341463414634146,0.8507462686567164,0.9224137931034483,0.8699186991869918,0.895397489539749,,,
P1,F3,mlp,0,fold0,128,33,3225,895,57,9.330228805541992,26.69142611199917,0.753072625698324,0.6069584171696848,0.7476689934766888,4,0.7272727272727273,0.5452380952380953,33,0.653125,0.842741935483871,0.7359154929577465,0.7428571428571429,0.7222222222222222,0.7323943661971831,0.8595505617977528,0.765,0.8095238095238095,0.3333333333333333,0.0967741935483871,0.15
P1,F3,mlp,0,fold1,128,33,3269,851,57,7.773571014404297,27.13853407970747,0.7614571092831962,0.5803571986803687,0.774177324247444,4,0.8181818181818182,0.6359026369168357,33,0.5416666666666666,0.65,0.5909090909090909,0.8120300751879699,1.0,0.8962655601659751,0.9805194805194806,0.7259615384615384,0.8342541436464088,0.0,0.0,0.0
P1,F3,mlp,0,fold2,129,32,3228,892,57,6.532134532928467,27.049550026521555,0.82847533632287,0.8025746190334628,0.833811875911279,4,0.84375,0.8064327485380116,32,0.6877076411960132,0.8922413793103449,0.776735459662289,0.9206349206349206,0.8055555555555556,0.8592592592592593,0.9450867052023122,0.7917675544794189,0.8616600790513834,0.5535714285714286,1.0,0.7126436781609196
P1,F3,mlp,0,fold3,129,32,3396,724,57,7.284805774688721,39.013709811215904,0.7734806629834254,0.5888820539662663,0.7653454785936196,4,0.8125,0.6134453781512605,32,0.7619047619047619,0.6956521739130435,0.7272727272727273,0.9831932773109243,0.6358695652173914,0.7722772277227723,0.7664233576642335,0.9692307692307692,0.8559782608695652,0.0,0.0,0.0
P1,F3,mlp,0,fold4,130,31,3362,758,57,5.047956466674805,33.16911984244877,0.7823218997361477,0.7754973945126746,0.7944135906739667,3,0.8387096774193549,0.8296296296296296,31,0.668,0.907608695652174,0.7695852534562212,0.7542857142857143,0.6439024390243903,0.6947368421052632,0.939297124600639,0.7967479674796748,0.8621700879765396,,,
P1,F3,vote,0,fold0,128,33,3225,895,57,11.045714139938354,309.7973722319363,0.8145251396648044,0.6907596650885429,0.8084701222685159,4,0.8181818181818182,0.627937030075188,33,0.7060702875399361,0.8911290322580645,0.7878787878787878,0.9128205128205128,0.8240740740740741,0.8661800486618005,0.8507853403141361,0.8125,0.8312020460358056,1.0,0.16129032258064516,0.2777777777777778
P1,F3,vote,0,fold1,128,33,3269,851,57,10.983601331710815,291.65512246334737,0.8025851938895417,0.6177813529218775,0.816604896711467,4,0.7878787878787878,0.6221804511278195,33,0.5666666666666667,0.765,0.6510638297872341,0.927038626609442,1.0,0.9621380846325167,0.9936708860759493,0.7548076923076923,0.8579234972677595,0.0,0.0,0.0
P1,F3,vote,0,fold2,129,32,3228,892,57,10.73619270324707,304.5620939656758,0.8295964125560538,0.7706674855251318,0.8295593449468305,4,0.90625,0.9186274509803922,32,0.7045454545454546,0.8017241379310345,0.75,0.9077669902912622,0.8657407407407407,0.8862559241706162,0.8716049382716049,0.8547215496368039,0.863080684596577,0.8235294117647058,0.45161290322580644,0.5833333333333334
P1,F3,vote,0,fold3,129,32,3396,724,57,11.086044073104858,308.4191301250985,0.7665745856353591,0.5700685751749144,0.7589828879331777,4,0.8125,0.6049107142857143,32,0.5406698564593302,0.6141304347826086,0.5750636132315522,0.9259259259259259,0.6793478260869565,0.7836990595611285,0.8732782369146006,0.9753846153846154,0.9215116279069767,0.0,0.0,0.0
